word,synonym,antonym
دفتر,"[' بیاض', 'جریده', 'جنگ', 'رساله', 'سفینه', 'صحیفه', 'کتاب', 'مجموعه ۲. کابینه', 'کتابچه', 'سفینه', 'جنگ', 'صحیفه', 'طومار', 'رساله', 'کتاب', 'مجموعه']",nothing
غمزه,"['دلال', 'دلربایی', 'عشوه', 'غنج', 'فتانی', 'فسون', 'قر', 'کرشمه', 'لوندی', 'ناز', 'دلربایی', 'کرشمه', 'لوندی', 'دلال', 'عشوه', 'قر', 'خنج', 'فسون', 'ناز']",nothing
برین,"['بالایی', 'اعلی ']","[' فرودین', 'بالا']"
دیار,"[' احدی', 'شخص', 'فرد', 'کس', 'هیچکس  دیرنشین', 'صومعهنشین', 'سرزمین', 'شهر', 'کشورملک', 'مدینه', 'مملکت', 'محروسه', 'سرزمین', 'شهر', 'کشور']","['حضر', 'فرد', 'خاک']"
جهل,"['بیاطلاعی', 'بیخبری', 'بیعلمی', 'حماقت', 'نادانی ', 'بیاطلاعی', 'بیخردی', 'نادانی', 'بیخبری', 'حماقت']","[' دانش', 'معرفت', 'بیعلمی', 'علم', 'دانش', 'بیدانشی', 'تاریکی']"
زدن,"[' نواختن ۲. ضرب', 'ضربه', 'ضربت ۳. دزدیدن', 'ربودن', 'قاپیدن ۴. ضربان ۵. کوفتن ۶. شکار کردن', 'صید کردن ۷. اتفاقافتادن', 'واقعشدن']",nothing
عام,"[' همگان', 'همه  عمومی', 'کلی', 'همگانی  عامی  عمیم', 'فراگیر ', 'فراگیر', 'همگان', 'همگانی', 'معمولی', 'همه']","[' خاص', 'اختصاصاختصاصی', 'کلی', 'عمومی', 'ویژه']"
نهی,"[' بازداشت', 'جلوگیری', 'منع  بازداشتن', 'نهی کردن ', 'جلوگیری']","[' امر', 'باز داشتن', 'ممنوع', 'بازداشت', 'تحریم', 'نفی', 'دستور']"
وه,"['خهخه', 'آفرین']",nothing
برادر,"[' اخوی', 'داداش', 'کاکا ', 'اخوی', 'داداش', 'کاکا']","[' خواهر  دوست', 'خواهر', 'شاباجی', 'باجی', 'آبجی']"
بزم,"[' انتعاش', 'جشن', 'سور', 'ضیافت', 'عیش', 'مجلس', 'مجلس عیشونوش', 'محفل', 'انس', 'میهمانی ', 'ضیافت', 'جشن', 'عیش']","[' رزم  ماتم', 'بزمی', 'سور']"
خوردن,"[' اکل', 'بلعیدن', 'تغذیه کردن', 'تناول کردن', 'صرف کردن', 'میل کردن ۲. جویدن ۳. آشامیدن', 'نوش کردن', 'نوشیدن ۴. تحلیل بردن ۵. برباد دادن', 'تلف کردن', 'نابود کردن', 'هدر دادن ۶. بالا کشیدن', 'سوءاستفاده کردن', 'واپس ندادن ۷. سائیده شدن', 'فرسودهشدن ۸. اصا']",nothing
انگشت,"[' اصبع', 'کلیک  انقوزه', 'صمغ', 'خنصر']",['سبابه']
نما,"[' ظاهر', 'نمود  شاخص  جبهه', 'منظره  رویش', 'نمو  توان', 'قوه', 'روییدن', 'چشمانداز', 'رویش', 'منظره', 'شاخص', 'توان']",['پایه']
عارف,"[' سالک', 'صوفی  دانا', 'صاحبنظر', 'عالم', 'عریف', 'واقف', 'طریقتشناس', 'شناسنده', 'اهلاله', 'صوفی', 'متاله']","['عامی', 'خداشناس', 'معنوی', 'بیدار']"
صنع,"['آفرینش', 'ابداع', 'خلقت', 'ساخت', 'ساخته', 'صنعت', 'صنعت', 'خلقت', 'آفرینش']",nothing
گلی,"['آل', 'گلفام', 'گلرنگ', 'گلگون', 'گلگون']",['سنگینه']
ایزد,"['آفریدگار', 'الله', 'پروردگار', 'جانآفرین', 'خدا', 'فرشته', 'یزدان', 'جانآفرین', 'اهورامزدا', 'الله', 'خواندگار', 'یزدان', 'دادار', 'آفریدگار', 'پروردگار', 'خدا']",['فرشته']
دانا,"['حبر', 'خردمند', 'دانشمند', 'عالم', 'فاضل', 'فرهیخته', 'محقق', 'ملا ', 'چیزفهم', 'فرجاد', 'بافهم', 'دانشور', 'فهیم', 'فرزانه', 'اریب', 'اندیشمند', 'دانشپژوه', 'مستشعر', 'متفقه']","[' نادان', 'بامعلومات']"
کر,"[' اصم', 'ناشنوا  آرزو', 'مراد', 'مطلوب', 'مقصود  توان', 'زور', 'قدرت', 'قوت', 'قوه', 'اصم', 'کالیو']","['شنوا', 'ناشنوا']"
